report_id,coder_id,article_id,city,event_date,side,tactics,participants,num_participants,part_violence,police_eng,end_activity,dist_cause,slogans
1497,03,1528453420Berlin_article_800,Berlin,2016-01-23,pro-pegida,demonstration,Internationaler Konvent der Russlanddeutschen;Pegida,700,0,1,NA,NA,Wir haben Angst um unsere Kinder
1498,03,1528396335Berlin_article_793,Berlin,2016-01-23,pro-pegida,demonstration,Bärgida;Russian speakers,700,NA,NA,NA,NA,NA
1499,03,1528396311Berlin_article_792,Berlin,2016-01-23,pro-pegida,demonstration,Bärgida;Russian speakers,700,NA,NA,NA,NA,NA
1500,03,1528396287Berlin_article_791,Berlin,2016-01-25,pro-pegida,demonstration,Bärgida;Russian speakers,700,NA,NA,NA,NA,NA
1501,03,1528396257Berlin_article_790,Berlin,2016-01-23,pro-pegida,demonstration,Bärgida,700,NA,NA,NA,NA,NA
1502,03,1528396191Berlin_article_787,Berlin,2016-01-23,pro-pegida,demonstration,Bärgida;Russian speakers,700,NA,NA,NA,NA,NA
1503,03,1528396124Berlin_article_784,Berlin,2016-01-23,pro-pegida,demonstration,Bärgida;Russian speakers,700,NA,NA,NA,NA,NA
1504,03,1528382968Berlin_article_315,Berlin,2016-11-06,pro-pegida,demonstration,Bärgida;NPD,500,0,0,NA,NA,NA
1505,03,1528382968Berlin_article_315,Berlin,2016-11-07,anti-pegida,demonstration,SPD;Verdi,800,0,0,NA,NA,NA
1506,03,1528382441Berlin_article_297,Berlin,2016-11-26,pro-pegida,demonstration,Bärgida,120,0,0,0,NA,NA
1507,03,1528382441Berlin_article_297,Berlin,2016-11-26,anti-pegida,demonstration,NA,200,0,0,0,NA,NA
1508,03,1528381423Berlin_article_265,Berlin,2017-01-17,pro-pegida,demonstration,Bärgida,NA,NA,0,NA,NA,NA
1509,03,1535974862Kassel_article_178,Kassel,2014-12-01,pro-pegida,demonstration,Kagida;NPD,NA,NA,NA,NA,NA,NA
