city,event_date,side,media_reports,events,participants_mean,participants_max,participants_min,part_violence,sec_engagement
Dresden,2017-10-28,anti-pegida,3,1,3000,3000,3000,NA,1
Dresden,2017-11-13,pro-pegida,1,1,1500,1500,1500,NA,NA
Dresden,2017-11-13,anti-pegida,1,1,24,24,24,NA,NA
Dresden,2018-02-02,anti-pegida,1,1,200,200,200,NA,NA
Duisburg,2015-01-19,pro-pegida,9,1,429,600,150,NA,0
Duisburg,2015-01-19,anti-pegida,11,1,3750,4000,3000,4,2
Duisburg,2015-01-20,pro-pegida,2,1,430,600,260,2,2
Duisburg,2015-01-20,anti-pegida,2,1,3300,3600,3000,NA,0
Duisburg,2015-01-26,pro-pegida,5,1,533,1000,300,NA,1
Duisburg,2015-01-26,anti-pegida,3,1,600,900,300,NA,1
Duisburg,2015-01-27,anti-pegida,2,1,2000,2000,2000,NA,NA
Duisburg,2015-02-02,pro-pegida,2,1,150,170,130,0,0
Duisburg,2015-02-02,anti-pegida,2,1,300,300,300,0,0
Duisburg,2015-02-09,pro-pegida,1,1,100,100,100,NA,NA
Duisburg,2015-02-09,anti-pegida,1,1,300,300,300,NA,NA
Duisburg,2015-10-12,pro-pegida,1,1,200,200,200,NA,0
Duisburg,2015-10-12,anti-pegida,1,1,50,50,50,NA,1
Duisburg,2015-11-09,pro-pegida,1,1,350,350,350,NA,0
Duisburg,2015-11-09,anti-pegida,1,1,450,450,450,2,2
Duisburg,2015-12-07,pro-pegida,2,1,150,150,150,NA,0
Duisburg,2015-12-07,anti-pegida,2,1,400,400,400,4,2
Duisburg,2016-01-18,pro-pegida,1,1,350,350,350,NA,0
Duisburg,2016-01-18,anti-pegida,1,1,450,450,450,NA,0
Duisburg,2016-01-25,pro-pegida,1,1,330,330,330,NA,2
Duisburg,2016-01-25,anti-pegida,1,1,120,120,120,NA,1
Duisburg,2016-02-01,pro-pegida,1,1,300,300,300,NA,1
Duisburg,2016-02-01,anti-pegida,1,1,150,150,150,NA,2
Duisburg,2016-02-15,pro-pegida,1,1,NA,NA,NA,NA,0
Duisburg,2016-02-15,anti-pegida,1,1,300,300,300,NA,0
Duisburg,2016-03-14,anti-pegida,1,1,300,300,300,0,0
Düsseldorf,2014-12-08,pro-pegida,15,1,435,500,400,0,0
Düsseldorf,2014-12-08,anti-pegida,9,1,893,1100,400,0,0
Düsseldorf,2014-12-09,pro-pegida,2,1,450,450,450,NA,0
Düsseldorf,2014-12-09,anti-pegida,1,1,750,750,750,NA,0
Düsseldorf,2015-01-12,pro-pegida,19,1,244,350,150,NA,0
Düsseldorf,2015-01-12,anti-pegida,20,2,4933,5500,2000,4,0
Düsseldorf,2015-01-13,pro-pegida,3,1,200,200,200,NA,0
Düsseldorf,2015-01-13,anti-pegida,3,1,5333,5500,5000,NA,0
Düsseldorf,2015-01-14,anti-pegida,1,1,3500,3500,3500,NA,0
Düsseldorf,2015-01-19,pro-pegida,7,1,480,1500,120,NA,0
Düsseldorf,2015-01-19,anti-pegida,7,1,873,1500,120,NA,0
Düsseldorf,2015-01-20,pro-pegida,3,1,157,160,150,0,0
Düsseldorf,2015-01-20,anti-pegida,2,1,1000,1000,1000,0,0
Düsseldorf,2015-01-26,pro-pegida,2,1,110,110,110,NA,0
Düsseldorf,2015-01-26,anti-pegida,2,1,600,600,600,NA,0
Düsseldorf,2015-01-27,pro-pegida,2,1,100,100,100,NA,NA
Düsseldorf,2015-01-27,anti-pegida,2,1,NA,NA,NA,NA,NA
Düsseldorf,2015-02-02,pro-pegida,3,1,80,80,80,NA,0
Düsseldorf,2015-02-02,anti-pegida,2,1,800,800,800,NA,2
Düsseldorf,2015-02-19,anti-pegida,1,1,30,30,30,NA,NA
Düsseldorf,2015-02-23,pro-pegida,1,1,NA,NA,NA,NA,0
Düsseldorf,2015-02-23,anti-pegida,1,1,NA,NA,NA,NA,0
Düsseldorf,2015-02-25,pro-pegida,4,1,50,50,50,0,0
Düsseldorf,2015-02-25,anti-pegida,4,1,725,800,700,0,0
Düsseldorf,2015-02-26,pro-pegida,4,1,50,50,50,0,0
Düsseldorf,2015-02-26,anti-pegida,4,1,750,800,700,0,0
Düsseldorf,2015-09-18,pro-pegida,1,1,128,128,128,NA,0
Düsseldorf,2015-09-18,anti-pegida,1,1,1200,1200,1200,NA,0
Düsseldorf,2016-04-02,anti-pegida,1,1,NA,NA,NA,NA,NA
Erfurt,2015-01-25,pro-pegida,1,1,1000,1000,1000,NA,0
Erfurt,2015-01-25,anti-pegida,1,1,600,600,600,NA,0
Erfurt,2015-01-26,pro-pegida,3,1,1000,1000,1000,NA,0
Erfurt,2015-01-26,anti-pegida,3,1,600,600,600,2,2
Erfurt,2015-03-23,pro-pegida,3,1,200,200,200,NA,0
Erfurt,2015-03-23,anti-pegida,3,1,333,400,300,NA,0
Erfurt,2015-04-13,pro-pegida,3,1,125,150,100,NA,0
Erfurt,2015-04-13,anti-pegida,3,1,317,350,300,NA,0
Flensburg,2015-01-19,anti-pegida,1,1,NA,NA,NA,NA,NA
Frankfurt am Main,2015-01-05,anti-pegida,1,1,350,350,350,2,2
Frankfurt am Main,2015-01-26,pro-pegida,6,1,97,120,70,3,0
Frankfurt am Main,2015-01-26,anti-pegida,6,2,14167,16500,4000,4,2
Frankfurt am Main,2015-02-02,pro-pegida,1,1,90,90,90,NA,0
Frankfurt am Main,2015-02-02,anti-pegida,1,2,1700,1700,1700,4,2
Frankfurt am Main,2015-02-09,pro-pegida,2,1,110,110,110,NA,1
Frankfurt am Main,2015-02-09,anti-pegida,2,1,980,1000,960,4,2
Frankfurt am Main,2015-02-23,pro-pegida,2,1,60,60,60,3,0
Frankfurt am Main,2015-02-23,anti-pegida,2,1,850,1000,700,4,2
Frankfurt am Main,2015-03-02,pro-pegida,1,1,80,80,80,NA,0
Frankfurt am Main,2015-03-02,anti-pegida,1,1,550,550,550,2,2
Frankfurt am Main,2015-03-23,pro-pegida,1,1,50,50,50,NA,0
Frankfurt am Main,2015-03-23,anti-pegida,1,1,500,500,500,2,2
Frankfurt am Main,2015-05-11,pro-pegida,1,1,30,30,30,NA,NA
Frankfurt am Main,2015-05-11,anti-pegida,1,1,200,200,200,NA,NA
Frankfurt am Main,2015-05-18,pro-pegida,1,1,30,30,30,0,0
Frankfurt am Main,2015-05-18,anti-pegida,1,2,850,850,850,1,0
Frankfurt am Main,2015-06-20,pro-pegida,1,1,250,250,250,4,2
Frankfurt am Main,2015-06-20,anti-pegida,1,1,2000,2000,2000,4,2
Freiburg,2015-01-23,anti-pegida,8,1,20000,20000,20000,1,1
Freiburg,2015-01-24,anti-pegida,1,1,20000,20000,20000,0,0
Freiburg,2015-01-28,anti-pegida,1,1,20000,20000,20000,NA,NA
Fürth,2016-10-14,pro-pegida,2,1,NA,NA,NA,NA,NA
Fürth,2016-10-14,anti-pegida,2,1,NA,NA,NA,2,2
Fürth,2016-11-11,pro-pegida,4,1,32,35,30,NA,NA
Fürth,2016-11-11,anti-pegida,2,1,170,170,170,NA,NA
Fürth,2017-02-10,pro-pegida,1,1,NA,NA,NA,NA,NA
Görlitz,2014-12-20,anti-pegida,1,1,300,300,300,NA,NA
Görlitz,2014-12-22,anti-pegida,1,1,200,200,200,NA,NA
Görlitz,2015-06-10,pro-pegida,1,1,1000,1000,1000,NA,NA
Görlitz,2015-06-10,anti-pegida,1,1,500,500,500,NA,NA
Görlitz,2015-11-14,pro-pegida,2,1,2833,2833,2833.333333333333,3,1
Görlitz,2015-11-14,anti-pegida,2,1,150,150,150,0,0
Görlitz,2015-12-26,pro-pegida,1,1,350,350,350,0,NA
Halle,2015-11-02,pro-pegida,1,1,480,480,480,0,0
